id,tag,donor,distSpatial,donors,distSpatials
cat-12860,hlr,cat-9891,130,cat-9891,130
cat-12864,hlr,cat-9891,120,cat-9891,120
cat-12865,hlr,cat-9891,119,cat-9891,119
cat-12869,hlr,cat-9891,115,cat-9891,115
cat-12873,hlr,cat-9891,111,cat-9891,111
cat-12890,hlr,cat-9891,108,cat-9891,108
cat-12898,hlr,cat-9891,107,cat-9891,107
cat-12907,hlr,cat-9891,105,cat-9891,105
cat-12908,hlr,cat-9891,103,cat-9891,103
cat-12920,hlr,cat-9891,125,cat-9891,125
cat-12925,hlr,cat-9891,130,cat-9891,130
cat-12935,hlr,cat-9891,133,cat-9891,133
cat-12948,hlr,cat-9891,133,cat-9891,133
cat-12979,hlr,cat-9891,106,cat-9891,106
cat-13236,hlr,cat-9891,150,cat-9891,150
cat-13285,hlr,cat-9891,163,cat-9891,163
cat-13300,hlr,cat-9891,147,cat-9891,147
cat-13925,hlr,cat-9891,430,cat-9891,430
cat-14205,hlr,cat-9891,434,cat-9891,434
cat-14872,hlr,cat-9891,400,cat-9891,400
cat-14959,hlr,cat-9891,389,cat-9891,389
cat-16376,hlr,cat-9891,247,cat-9891,247
cat-16839,hlr,cat-9891,95,cat-9891,95
cat-16845,hlr,cat-9891,104,cat-9891,104
cat-16896,hlr,cat-9891,79,cat-9891,79
cat-17086,hlr,cat-9891,81,cat-9891,81
cat-17092,hlr,cat-9891,83,cat-9891,83
cat-17108,hlr,cat-9891,85,cat-9891,85
cat-17124,hlr,cat-9891,97,cat-9891,97
cat-17167,hlr,cat-9891,102,cat-9891,102
cat-17209,hlr,cat-9891,107,cat-9891,107
cat-17218,hlr,cat-9891,110,cat-9891,110
cat-17617,hlr,cat-9891,65,cat-9891,65
cat-17843,hlr,cat-9891,33,cat-9891,33
cat-18467,hlr,cat-9891,34,cat-9891,34
cat-18652,hlr,cat-9891,69,cat-9891,69
cat-18688,hlr,cat-9891,78,cat-9891,78
cat-18713,hlr,cat-9891,68,cat-9891,68
cat-18952,hlr,cat-9891,39,cat-9891,39
cat-18955,hlr,cat-9891,71,cat-9891,71
cat-19728,hlr,cat-9891,51,cat-9891,51
cat-21311,hlr,cat-9891,53,cat-9891,53
cat-21495,hlr,cat-9891,59,cat-9891,59
cat-22132,hlr,cat-9891,104,cat-9891,104
cat-24930,hlr,cat-9891,115,cat-9891,115
cat-39902,hlr,cat-9891,367,cat-9891,367
cat-40038,hlr,cat-9891,225,cat-9891,225
cat-4284,hlr,cat-9891,414,cat-9891,414
cat-4850,hlr,cat-9891,408,cat-9891,408
cat-5033,hlr,cat-9891,425,cat-9891,425
cat-6549,hlr,cat-9891,362,cat-9891,362
cat-7433,hlr,cat-9891,351,cat-9891,351
cat-8823,hlr,cat-9891,423,cat-9891,423
cat-9174,hlr,cat-9891,387,cat-9891,387
cat-10199,hlr,cat-15021,189,"cat-15021,cat-12679,cat-9852","189,194,247"
cat-11241,hlr,cat-15021,169,"cat-15021,cat-12679,cat-9852","169,175,198"
cat-12174,hlr,cat-15021,45,"cat-15021,cat-12679,cat-9852","45,52,92"
cat-12191,hlr,cat-15021,81,"cat-15021,cat-12679,cat-9852","81,86,140"
cat-12478,hlr,cat-15021,93,"cat-15021,cat-12679,cat-9852","93,99,142"
cat-12712,hlr,cat-15021,119,"cat-15021,cat-12679,cat-9869","119,126,136"
