id,tag,donor,distSpatial,donors,distSpatials
cat-31298,camels,cat-14748,91,"cat-14748,cat-14749","91,94"
cat-31315,camels,cat-14748,90,"cat-14748,cat-14749","90,93"
cat-31860,camels,cat-14748,94,"cat-14748,cat-14749","94,97"
cat-31875,camels,cat-14748,100,"cat-14748,cat-14749","100,103"
cat-33069,camels,cat-14748,205,cat-14748,205
cat-33078,camels,cat-14748,190,"cat-14748,cat-14749","190,191"
cat-33082,camels,cat-14748,184,cat-14748,184
cat-33091,camels,cat-14748,206,"cat-14748,cat-14749","206,206"
cat-33107,camels,cat-14748,176,"cat-14748,cat-14749","176,177"
cat-33115,camels,cat-14748,169,"cat-14748,cat-14749","169,170"
cat-33158,camels,cat-14748,186,"cat-14748,cat-14749","186,188"
cat-33227,camels,cat-14748,194,cat-14748,194
cat-33289,camels,cat-14748,196,"cat-14748,cat-14749","196,197"
cat-33305,camels,cat-14748,186,"cat-14748,cat-14749","186,188"
cat-33367,camels,cat-14748,173,"cat-14748,cat-14749","173,175"
cat-33372,camels,cat-14748,176,"cat-14748,cat-14749","176,177"
cat-33378,camels,cat-14748,171,"cat-14748,cat-14749","171,172"
cat-33380,camels,cat-14748,167,"cat-14748,cat-14749","167,168"
cat-33381,camels,cat-14748,164,"cat-14748,cat-14749","164,165"
cat-33466,camels,cat-14748,178,"cat-14748,cat-14749","178,179"
cat-33473,camels,cat-14748,166,cat-14748,166
cat-33502,camels,cat-14748,187,"cat-14748,cat-14749","187,188"
cat-33550,camels,cat-14748,184,"cat-14748,cat-14749","184,184"
cat-33555,camels,cat-14748,183,"cat-14748,cat-14749","183,183"
cat-33591,camels,cat-14748,204,cat-14748,204
cat-33593,camels,cat-14748,207,cat-14748,207
cat-33679,camels,cat-14748,178,"cat-14748,cat-14749","178,180"
cat-33720,camels,cat-14748,170,"cat-14748,cat-14749","170,171"
cat-33841,camels,cat-14748,243,"cat-14748,cat-14749","243,245"
cat-33847,camels,cat-14748,248,"cat-14748,cat-14749","248,250"
cat-34188,camels,cat-14748,119,"cat-14748,cat-14749","119,120"
cat-34557,camels,cat-14748,118,"cat-14748,cat-14749","118,119"
cat-34558,camels,cat-14748,122,"cat-14748,cat-14749","122,124"
cat-34585,camels,cat-14748,220,"cat-14748,cat-14749","220,221"
cat-34797,camels,cat-14748,211,cat-14748,211
cat-34915,camels,cat-14748,191,"cat-14748,cat-14749","191,193"
cat-34924,camels,cat-14748,203,"cat-14748,cat-14749","203,205"
cat-35176,camels,cat-14748,187,"cat-14748,cat-14749","187,188"
cat-35252,camels,cat-14748,209,"cat-14748,cat-14749","209,210"
cat-35319,camels,cat-14748,217,"cat-14748,cat-14749","217,219"
cat-35406,camels,cat-14748,240,"cat-14748,cat-14749","240,243"
cat-35465,camels,cat-14748,236,"cat-14748,cat-14749","236,238"
cat-35715,camels,cat-14748,230,"cat-14748,cat-14749","230,232"
cat-37035,camels,cat-14748,217,cat-14748,217
cat-37296,camels,cat-14748,212,"cat-14748,cat-14749","212,215"
cat-37306,camels,cat-14748,214,"cat-14748,cat-14749","214,217"
cat-37400,camels,cat-14748,216,"cat-14748,cat-14749","216,219"
cat-37478,camels,cat-14748,104,"cat-14748,cat-14749","104,107"
cat-37974,camels,cat-14748,87,"cat-14748,cat-14749","87,90"
cat-38018,camels,cat-14748,78,cat-14748,78
cat-39094,camels,cat-14748,71,cat-14748,71
cat-39959,camels,cat-14749,381,"cat-14749,cat-14748","381,383"
cat-39961,camels,cat-14749,684,"cat-14749,cat-14748","684,685"
cat-39962,camels,cat-14749,691,"cat-14749,cat-14748","691,692"
cat-40068,camels,cat-14748,308,cat-14748,308
cat-40080,camels,cat-14749,212,"cat-14749,cat-14748","212,213"
cat-40107,camels,cat-14748,157,"cat-14748,cat-14749","157,158"
cat-40189,camels,cat-14748,177,"cat-14748,cat-14749","177,179"
cat-40195,camels,cat-14748,174,"cat-14748,cat-14749","174,175"
cat-7708,camels,cat-14749,522,"cat-14749,cat-14748","522,523"
cat-7720,camels,cat-14749,533,"cat-14749,cat-14748","533,535"
cat-7916,camels,cat-14749,564,"cat-14749,cat-14748","564,566"
cat-8294,camels,cat-14749,518,"cat-14749,cat-14748","518,520"
cat-8319,camels,cat-14749,517,"cat-14749,cat-14748","517,519"
cat-8352,camels,cat-14749,542,"cat-14749,cat-14748","542,544"
cat-8490,camels,cat-14749,542,"cat-14749,cat-14748","542,544"
cat-8492,camels,cat-14749,545,"cat-14749,cat-14748","545,547"
cat-8541,camels,cat-14748,553,cat-14748,553
cat-8903,camels,cat-14749,577,"cat-14749,cat-14748","577,579"
cat-8947,camels,cat-14749,557,"cat-14749,cat-14748","557,559"
cat-8962,camels,cat-14749,549,"cat-14749,cat-14748","549,550"
cat-9060,camels,cat-14749,525,"cat-14749,cat-14748","525,526"
cat-9061,camels,cat-14749,522,"cat-14749,cat-14748","522,524"
cat-9119,camels,cat-14749,577,"cat-14749,cat-14748","577,578"
cat-9123,camels,cat-14749,571,"cat-14749,cat-14748","571,573"
cat-9144,camels,cat-14749,571,"cat-14749,cat-14748","571,572"
cat-9209,camels,cat-14748,551,cat-14748,551
cat-9218,camels,cat-14749,513,"cat-14749,cat-14748","513,515"
cat-9255,camels,cat-14749,552,"cat-14749,cat-14748","552,554"
cat-22418,camels,cat-16881,136,"cat-16881,cat-16871,cat-16841","136,140,143"
cat-22450,camels,cat-16871,128,"cat-16871,cat-16841","128,131"
cat-22459,camels,cat-16881,136,"cat-16881,cat-16871,cat-16841","136,140,143"
cat-22467,camels,cat-16881,143,"cat-16881,cat-16871,cat-16841","143,147,149"
cat-22469,camels,cat-16881,141,"cat-16881,cat-16871,cat-16841","141,145,148"
cat-22474,camels,cat-16881,160,"cat-16881,cat-16871,cat-16841","160,164,166"
