,reg_algorithm,reg_scenario,prcFlatLowland,prcFlatUpland,prcFlatTotal,relief,cidx,aridity,sand_frac,clay_frac,soil_depth,forest_frac,cropland_frac,urban_frac,slope,elev_mean,p_mean,pet_mean,snow_frac,high_prec_freq,low_prec_freq,high_prec_dur,low_prec_dur,gvf_max,gvf_diff,lai_max,lai_diff,geo_porosity,geo_permeability,soil_porosity,soil_conductivity
min,kmeans,camels,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,kmeans,camels,,,,,,0.03,0.03,0.01,0.0,0.04,,,0.01,27.1075,33.47,20.81,0.01,0.5,1.67,0.01,0.05,0.0,0.01,0.15,0.15,0.0,0.04,0.0,0.17
50%,kmeans,camels,,,,,,0.08,0.06,0.02,0.04,0.1,,,0.03,59.31,76.11,44.88,0.02,1.17,3.58,0.02,0.11,0.02,0.04,0.36,0.35,0.03,0.42,0.01,0.46
75%,kmeans,camels,,,,,,0.14,0.12,0.03,0.21,0.2,,,0.05,120.1275,127.34,82.01,0.03,2.0,7.25,0.03,0.19,0.07,0.1,0.74,0.82,0.09,1.1,0.02,0.95
max,kmeans,camels,,,,,,0.54,0.47,0.23,1.48,0.79,,,0.22,663.14,474.75,407.19,0.13,6.08,38.63,0.11,0.77,0.99,0.97,5.05,4.3,0.26,7.68,0.39,28.33
count,kmedoids,hlr,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14266.0,14266.0,14436.0,14632.0,14632.0,14632.0,,,,,,,,,,,,,,,,,
mean,kmedoids,hlr,6.866593767085839,3.265103881902679,6.0499589939857845,88.20232367413887,0.10240431930016403,0.11990363586659378,0.11874456750315435,0.03050820131781859,0.13477001939595457,0.1230337616183707,0.05260251503553855,0.07070598687807544,,,,,,,,,,,,,,,,,
std,kmedoids,hlr,8.416014913343608,5.422726637818899,7.750370580654514,84.15921803588195,0.08600458557227457,0.09832135054281538,0.1270593324850144,0.039835638077225344,0.20898168603074238,0.10506307485191248,0.07536188238142551,0.09991781434307988,,,,,,,,,,,,,,,,,
min,kmedoids,hlr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
25%,kmedoids,hlr,2.0,0.0,1.0,29.24,0.04,0.04,0.03,0.01,0.0,0.04,0.0,0.01,,,,,,,,,,,,,,,,,
50%,kmedoids,hlr,4.0,1.0,4.0,64.99000000000001,0.08,0.09,0.08,0.02,0.03,0.09,0.02,0.03,,,,,,,,,,,,,,,,,
75%,kmedoids,hlr,9.0,4.0,8.0,119.0825,0.15,0.16,0.16,0.04,0.19,0.18,0.07,0.08,,,,,,,,,,,,,,,,,
max,kmedoids,hlr,92.0,74.0,92.0,1179.43,0.55,0.54,0.73,0.25,1.48,0.76,1.0,0.89,,,,,,,,,,,,,,,,,
count,kmedoids,camels,,,,,,14632.0,14266.0,14266.0,14436.0,14632.0,,,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14623.0,14623.0,14301.0,14301.0
