id,toid,type,areasqkm,gages
cat-7764,nex-7765,network,23.9620451083842,01054200
cat-7710,nex-7711,network,17.6894979390243,01046000
cat-7714,nex-7715,network,12.2741983394823,01046000
cat-7929,nex-7712,network,27.4049906445274,01046000
cat-8715,nex-7929,network,6.34230377995649,01046000
cat-8716,nex-8548,network,9.26415269102445,01046000
cat-7709,nex-7710,network,8.16209670601119,01046000
cat-7712,nex-7713,network,6.03360908995053,01046000
cat-7928,nex-7929,network,7.93889323201236,01046000
cat-8546,nex-8547,network,8.48564905053121,01046000
cat-8547,nex-7715,network,8.56440876150425,01046000
cat-8548,nex-7929,network,5.31945040947047,01046000
cat-9315,nex-7714,network,10.4467565384493,01046000
cat-9316,nex-8437,network,7.44075041398002,01046000
cat-9318,nex-7712,network,6.56099304745829,01046000
cat-9319,nex-8716,network,3.45600664200646,01046000
cat-9003,nex-7929,network,3.98205177753155,01046000
cat-8959,nex-7928,network,4.03110245703149,01046000
cat-9317,nex-7709,network,7.09065258299058,01046000
cat-7711,nex-7712,network,13.8802537079826,01046000
cat-8435,nex-8436,network,4.46084645403292,01046000
cat-8958,nex-8436,network,3.05280435146105,01046000
cat-8436,nex-8437,network,7.06904077056781,01046000
cat-8437,nex-7713,network,9.94455012603457,01046000
cat-9320,nex-7713,network,1.9826993610675,01046000
cat-7713,nex-7714,network,12.2665483574351,01046000
cat-9393,nex-7714,network,11.4759014399655,01046000
cat-9392,nex-7715,network,9.80729913155538,01046000
cat-11887,nex-11888,network,19.5633112229718,01074520
cat-12124,nex-12125,network,9.63765037797254,01074520
cat-11885,nex-11886,network,11.0263513049642,01074520
cat-12125,nex-11886,network,6.84674849710311,01074520
cat-12708,nex-12709,network,12.5716436595357,01074520
cat-12985,nex-12125,network,18.837896381937,01074520
cat-12986,nex-11884,network,6.90030950852129,01074520
cat-13023,nex-11884,network,15.2630981504757,01074520
cat-13360,nex-12708,network,8.66205261004473,01074520
cat-13313,nex-12709,network,8.48699635049036,01074520
cat-12709,nex-11888,network,23.8797033434724,01074520
cat-13359,nex-11883,network,4.10355600299978,01074520
cat-11882,nex-11883,network,5.67494923947608,01074520
cat-11883,nex-11884,network,6.14430462146965,01074520
cat-13312,nex-12986,network,3.48885192143264,01074520
cat-11884,nex-11885,network,9.44098798952553,01074520
cat-12725,nex-12726,network,12.855153271432,01074520
cat-13311,nex-12726,network,7.53525517950207,01074520
cat-12726,nex-11885,network,22.4145013680744,01074520
cat-13310,nex-11886,network,6.58800280800641,01074520
cat-13357,nex-11886,network,13.4622026189334,01074520
cat-12123,nex-12124,network,15.3922501710353,01074520
cat-13307,nex-12124,network,4.35059964454045,01074520
cat-13308,nex-12125,network,7.4645954009676,01074520
cat-13309,nex-12125,network,4.64984985601117,01074520
cat-11886,nex-11887,network,0.200698159484188,01074520
cat-12532,nex-11887,network,4.62644636852626,01074520
cat-11888,nex-11889,network,4.73219784451056,01074520
cat-12984,nex-11889,network,7.11720054001754,01074520
cat-11889,nex-11890,network,7.1478002114331,01074520
cat-12387,nex-11890,network,1.92239689502412,01074520
cat-11890,nex-11891,network,6.16724775002569,01074520
cat-11641,nex-11642,network,12.1913977545476,01097000
cat-11642,nex-11643,network,12.3268509990028,01097000
cat-11646,nex-11647,network,13.9999482091129,01097000
cat-11892,nex-11893,network,8.20169991000866,01097000
cat-11894,nex-11647,network,8.36370026091468,01097000
cat-12041,nex-12042,network,31.3159480967398,01097000
cat-12042,nex-11643,network,8.39834852843982,01097000
cat-12069,nex-11642,network,10.1920530329052,01097000
cat-12145,nex-11642,network,8.55541149295905,01097000
cat-12146,nex-11648,network,11.9245502564772,01097000
cat-12611,nex-11647,network,3.03299567551455,01097000
cat-12835,nex-11892,network,6.63254970299593,01097000
cat-12836,nex-12451,network,6.36299862749429,01097000
cat-11640,nex-11641,network,8.63685158848664,01097000
cat-11643,nex-11644,network,8.91269535600039,01097000
cat-11647,nex-11648,network,2.66894655752535,01097000
cat-11893,nex-11894,network,8.28269301155781,01097000
cat-12101,nex-12102,network,9.41940246148327,01097000
cat-12335,nex-11644,network,6.32790043639708,01097000
cat-12451,nex-11894,network,14.2181990683966,01097000
cat-12612,nex-11641,network,6.69194827196242,01097000
cat-12615,nex-11644,network,4.30065210151038,01097000
cat-12837,nex-11642,network,11.7728907075433,01097000
cat-12613,nex-11640,network,3.52079827201452,01097000
cat-12838,nex-11641,network,2.86019740344523,01097000
cat-13148,nex-11641,network,4.58234993703759,01097000
cat-12839,nex-12069,network,5.47019626055567,01097000
cat-12144,nex-12145,network,3.65445048602003,01097000
cat-12452,nex-12145,network,6.34409426696902,01097000
cat-12840,nex-11641,network,6.71849749802664,01097000
cat-12614,nex-12042,network,3.87899667004222,01097000
cat-12336,nex-11644,network,18.3501075419938,01097000
cat-11644,nex-11645,network,3.25620637197176,01097000
cat-13149,nex-11645,network,1.73340032405536,01097000
cat-11645,nex-11646,network,9.11745080538893,01097000
cat-12102,nex-11647,network,7.17434872191403,01097000
cat-12025,nex-12026,network,8.85015526052906,01086000
cat-11789,nex-11790,network,5.67045177296574,01086000
cat-11791,nex-11792,network,16.9015504815897,01086000
cat-11793,nex-11794,network,10.5700564080179,01086000
cat-11939,nex-11940,network,8.49780754202273,01086000
cat-11941,nex-11792,network,10.9970953694849,01086000
cat-12111,nex-12112,network,10.5155922149138,01086000
cat-12193,nex-12194,network,7.84485550788815,01086000
cat-12194,nex-12195,network,11.533497021013,01086000
cat-12199,nex-12200,network,8.56530466642421,01086000
cat-12201,nex-11791,network,5.48415393296355,01086000
cat-12202,nex-11938,network,10.0678526550545,01086000
cat-12270,nex-11794,network,11.5366471335463,01086000
cat-12346,nex-11792,network,7.31925377552611,01086000
cat-12484,nex-12026,network,6.98264734496605,01086000
cat-12485,nex-11794,network,11.5514921924287,01086000
cat-12645,nex-12200,network,5.0872537035626,01086000
cat-12646,nex-11790,network,5.92606241549176,01086000
cat-12647,nex-12648,network,8.42760233095095,01086000
cat-12649,nex-12195,network,9.99674789398092,01086000
cat-12901,nex-11789,network,4.88609637303923,01086000
